B1,B2,B3,B4,B5,Zone
0,-70,-74,0,0,5
0,0,0,0,-74,5
0,0,-76,0,0,5
0,0,0,-84,0,5
-79,0,0,0,0,5
-75,0,0,0,-82,5
0,-78,0,0,0,5
0,0,0,0,-88,5
0,-68,0,0,0,5
0,0,0,-80,0,5
0,0,0,-80,0,5
-74,-68,0,0,-84,5
0,-66,0,0,0,5
0,0,0,-77,0,5
-79,-70,0,0,-77,5
0,-66,0,0,0,5
0,0,0,-81,0,5
-80,0,0,0,0,5
0,-70,0,0,0,5
0,0,-79,0,0,5
0,0,0,-77,0,5
-82,-73,0,0,-80,5
0,-79,0,0,0,5
0,0,0,-88,0,5
0,-75,-74,0,0,5
0,-67,0,0,0,5
-80,0,0,0,-82,5
0,0,-75,0,-78,5
0,-69,0,0,0,5
0,-69,0,0,0,5
0,0,-76,0,0,5
0,0,0,-81,0,5
0,0,0,-83,0,5
-72,0,0,0,-79,5
0,-66,-74,0,0,5
0,0,0,-79,0,5
-75,0,0,0,0,5
-70,0,0,0,0,5
0,0,-83,0,0,5
0,-65,-79,0,0,5
0,0,0,-85,0,5
-84,0,0,0,-80,5
0,-68,-77,0,0,5
-85,0,0,0,0,5
-83,0,0,0,-79,5
0,0,-78,0,-82,5
0,-69,-72,0,0,5
0,0,0,0,-79,5
0,-69,0,0,0,5
0,0,-74,0,0,5
0,-65,0,0,-81,5
0,-66,0,0,0,5
-71,0,0,0,0,5
-69,0,0,0,0,5
0,-79,-80,0,-89,5
0,-71,-86,0,0,5
-82,0,0,0,0,5
0,-82,0,0,0,5
0,0,-76,0,0,5
-83,0,0,0,0,5
-73,0,0,0,0,5
0,-81,0,0,0,5
0,0,0,-85,0,5
-80,0,0,0,0,5
-81,0,0,0,0,5
0,-63,0,0,0,5
0,0,0,-84,0,5
-77,0,0,0,-88,5
0,-77,-78,0,0,5
-75,0,0,0,0,5
0,0,-84,0,0,5
0,-80,0,0,0,5
-84,0,0,0,0,5
-78,0,0,0,0,5
0,-86,0,0,-88,5
0,0,-74,0,0,5
0,0,0,-92,0,5
-76,0,0,0,0,5
0,-68,-79,0,0,5
0,0,0,0,-88,5
0,-69,0,0,0,5
0,-64,0,0,0,5
0,0,-78,0,0,5
-76,0,0,0,0,5
0,0,0,0,-79,5
0,-71,0,0,-78,5
0,-80,0,0,0,5
-78,0,0,0,0,5
0,-67,0,0,-80,5
0,-75,-79,0,-90,5
0,0,0,-86,0,5
-80,0,0,0,0,5
0,-68,0,0,0,5
-69,0,0,0,0,5
-73,0,0,0,0,5
0,-75,-81,0,-80,5
0,0,-75,0,0,5
0,0,0,-81,0,5
-69,0,0,0,0,5
0,0,0,0,-80,5
0,-76,0,0,0,5
0,0,-79,0,0,5
-68,0,0,0,0,5
-77,0,0,0,-79,5
0,-71,-79,0,0,5
0,-67,0,0,0,5
0,0,-80,0,0,5
-75,-70,0,0,-79,5
0,0,0,0,-76,5
0,-68,-78,0,-75,5
0,0,0,-80,0,5
-72,0,0,0,0,5
0,0,-72,0,0,5
0,0,0,0,-75,5
0,0,0,0,-77,5
0,0,-79,0,0,5
-75,0,0,0,0,5
0,-70,-76,0,0,5
0,0,-77,0,0,5
-73,0,0,0,0,5
0,0,0,0,-82,5
-82,0,0,0,0,5
0,0,-83,0,0,5
0,0,0,-79,0,5
-68,0,0,0,0,5
-74,-74,0,0,0,5
0,-68,0,0,0,5
0,0,-77,0,0,5
0,0,0,-78,0,5
0,0,0,-78,0,5
0,-67,0,0,0,5
-73,0,0,0,0,5
0,0,0,-74,0,5
-76,0,0,0,0,5
0,-63,0,0,0,5
0,0,-74,0,-79,5
0,0,0,0,-75,5
0,0,0,-73,0,5
-68,0,0,0,0,5
0,-72,-72,0,-80,5
0,0,0,-75,0,5
-69,0,0,0,0,5
0,-70,0,0,0,5
0,0,-76,0,0,5
0,0,-82,0,0,5
0,0,0,-74,0,5
-72,0,0,0,0,5
0,-63,-77,0,0,5
0,0,0,-82,0,5
-73,0,0,0,0,5
-78,0,0,0,0,5
0,-70,0,0,0,5
0,-76,-77,0,-80,5
0,0,-91,0,0,5
0,-70,-80,0,0,5
0,0,0,-88,0,5
