B1,B2,B3,B4,B5,Zone
0.0,0.0,0.0,0.0,-0.8814761116025742,19
0.0,-0.5975754275164401,0.0,0.0,0.0,19
0.0,0.0,0.0,1.1116650917417972,0.0,19
0.0,0.0,0.0,0.0,0.27059502056331003,19
0.0,-0.1330448743532907,0.0,0.0,0.0,19
0.0,0.0,-0.21749241300313088,0.0,0.0,19
0.0,0.0,0.0,0.5107097702751141,0.0,19
-0.2378019441075038,0.0,0.0,1.3520472203284704,0.0,19
0.0,0.0,0.0,0.0,-0.017422762478161012,19
0.0,0.0,0.0,0.0,-0.017422762478161012,19
-1.6437946746675856,0.0,0.0,0.0,0.0,19
0.0,-0.8298407040980148,0.0,0.0,0.0,19
0.0,0.0,0.0,1.4722382846218072,0.0,19
0.0,0.0,0.0,0.0,1.0386424420072329,19
0.0,0.0,0.0,-0.5710098083649153,0.0,19
0.0,0.0,0.0,0.0,0.6546187312852715,19
0.0,0.0,-0.21749241300313088,0.0,0.0,19
0.0,-0.8298407040980148,-0.9663229755827301,0.0,0.0,19
0.0,-0.3653101509348654,0.0,0.0,0.0,19
0.0,0.0,0.0,0.6309008345684508,0.0,19
0.0,0.0,0.0,0.6309008345684508,0.0,19
0.0,0.0,0.0,0.0,0.5586128036047812,19
0.0,0.0,-0.0035408236946739636,0.0,0.0,19
0.0,-0.5975754275164401,0.0,0.0,0.0,19
0.0,-0.48144278922565276,0.0,0.0,0.0,19
0.36476636898967413,0.0,0.0,0.0,0.0,19
0.0,-0.8298407040980148,0.0,0.0,0.0,19
-0.5390861006560927,0.0,0.0,0.39051870598177757,0.0,19
0.0,0.0,0.0,0.0,-0.20943461783914172,19
-0.5390861006560927,0.0,0.0,0.0,0.0,19
0.0,0.0,0.0,0.0,0.5586128036047812,19
0.0,0.0,0.0,0.0,0.3666009482438004,19
0.0,0.0,0.21041076561378294,0.0,0.0,19
0.0,0.0,-0.21749241300313088,0.0,0.0,19
0.0,-0.7137080658072275,0.0,0.0,0.0,19
0.0,0.0,0.0,1.5924293489151438,0.0,19
0.0,0.0,0.0,0.9914740274484606,0.0,19
0.0,0.0,0.0,0.0,0.46260687592429073,19
0.0,-1.294371257261164,-0.4314440023115878,0.0,0.0,19
0.0,0.0,-0.6453955916200447,0.0,0.0,19
-0.2378019441075038,0.0,0.0,0.871282963155124,0.0,19
-1.2420824659361336,0.0,0.0,0.2703276416884409,0.0,19
0.0,0.0,0.0,0.0,-0.30544054551963207,19
0.0,0.0,0.0,0.0,0.46260687592429073,19
0.0,0.0,0.0,0.0,0.9426365143267426,19
0.0,-2.223432363587463,-1.180274564891187,0.0,0.0,19
-0.8403702572046817,0.0,0.0,0.0,0.0,19
0.0,-2.1072997252966754,-1.5012019488538724,0.0,0.0,19
-0.33822999629036676,0.0,0.0,-0.0902455511915689,0.0,19
0.0,0.0,0.0,0.6309008345684508,0.0,19
0.0,0.0,0.0,0.0,0.46260687592429073,19
0.0,0.0,0.0,-0.8113919369515886,0.0,19
0.0,0.0,0.0,0.0,1.0386424420072329,19
0.0,-0.7137080658072275,-1.180274564891187,0.0,0.0,19
-0.1373738919246408,0.0,0.0,0.0,0.0,19
-0.6395141528389557,0.0,0.0,1.1116650917417972,0.0,19
0.0,0.0,0.0,1.4722382846218072,0.0,19
0.0,-1.0621059806795894,0.0,0.0,0.0,19
0.0,-1.294371257261164,-0.7523713862742731,0.0,0.0,19
0.0,-1.0621059806795894,0.0,0.0,0.0,19
-0.2378019441075038,0.0,0.0,1.7126204132084804,0.0,19
0.0,0.0,0.0,0.0,0.8466305866462521,19
0.0,0.0,0.0,0.1501365773951043,0.0,19
0.0,0.0,0.0,0.0,1.0386424420072329,19
0.0,-0.9459733423888022,-1.0732987702369585,0.0,0.0,19
0.0,0.0,-1.6081777435081008,0.0,0.0,19
-0.5390861006560927,0.0,0.0,0.39051870598177757,0.0,19
0.0,0.0,0.0,1.2318561560351338,0.0,19
0.0,0.0,0.0,0.871282963155124,0.0,19
0.0,0.0,0.0,0.0,1.4226661527291944,19
0.0,0.0,0.0,0.0,0.07858316520232934,19
0.0,0.0,-0.0035408236946739636,0.0,0.0,19
0.0,-0.48144278922565276,-0.7523713862742731,0.0,0.0,19
0.0,0.0,0.0,0.9914740274484606,0.0,19
-1.3425105181189967,0.0,0.0,0.5107097702751141,0.0,19
0.0,0.0,0.0,0.0,0.1745890928828197,19
0.0,0.0,0.0,0.0,0.27059502056331003,19
0.0,-0.3653101509348654,0.0,0.0,0.0,19
0.0,0.6798835936822207,0.0,0.0,0.0,19
0.0,0.6798835936822207,-0.11051661834890242,0.0,0.0,19
0.0,0.0,0.0,0.871282963155124,0.0,19
0.0,0.0,0.0,0.0,0.8466305866462521,19
0.0,0.0,0.0,-1.051774065538262,0.0,19
0.0,0.0,0.0,0.0,-0.5934583285611031,19
0.0,-0.9459733423888022,-0.21749241300313088,0.0,0.0,19
0.0,0.0,0.0,1.1116650917417972,0.0,19
0.0,0.0,0.0,0.029945513101767702,0.0,19
