B1,B2,B3,B4,B5,Zone
0,0,0,-81,-80,2
0,-78,0,0,0,2
0,-72,0,-82,-82,2
0,0,0,-81,0,2
-65,0,0,0,0,2
0,0,-80,0,0,2
0,0,-80,0,0,2
0,0,0,0,-74,2
0,0,0,-76,-88,2
-69,0,0,0,0,2
0,0,-73,0,0,2
0,-75,0,-79,-78,2
-65,0,0,0,0,2
0,0,-75,0,0,2
0,-77,0,0,0,2
0,-71,0,0,0,2
0,0,0,-92,0,2
-54,0,0,0,0,2
-64,0,-81,0,0,2
0,0,-81,0,0,2
0,-73,0,0,0,2
0,0,0,-92,0,2
-53,0,0,0,0,2
0,0,-86,0,0,2
0,-77,0,-83,-84,2
0,0,0,-82,0,2
-58,0,0,0,0,2
0,-75,0,0,0,2
0,-70,0,-77,-75,2
-53,0,0,0,0,2
0,0,-79,0,0,2
0,0,-86,0,0,2
0,0,0,-79,-79,2
0,0,0,0,-86,2
-60,0,0,0,0,2
0,-73,-86,0,0,2
0,0,0,0,-84,2
0,0,-79,0,0,2
0,-82,0,0,0,2
0,-81,0,-80,-77,2
0,0,0,-77,-82,2
-66,0,0,0,0,2
0,0,-78,0,0,2
0,-85,0,0,0,2
0,0,0,-77,-80,2
-62,0,0,0,0,2
0,0,-83,0,0,2
0,0,-75,0,0,2
0,0,0,0,-83,2
0,0,0,-83,0,2
-63,0,0,0,0,2
0,0,-79,0,0,2
0,0,-75,0,0,2
0,-73,0,-83,0,2
-58,0,0,0,0,2
0,-78,0,-79,0,2
0,0,0,-80,0,2
-60,0,0,0,0,2
0,0,-80,0,0,2
0,0,0,-84,0,2
0,-78,0,0,0,2
0,0,0,0,-84,2
-64,0,0,0,0,2
-57,0,0,0,0,2
0,-87,-85,0,0,2
0,-73,0,0,0,2
-58,0,0,0,0,2
0,0,-75,0,0,2
0,0,0,-82,-81,2
0,0,0,-80,-84,2
-68,0,0,0,0,2
-53,0,0,0,0,2
0,0,-76,0,0,2
0,-82,0,0,0,2
0,-66,0,-69,0,2
0,0,0,0,-74,2
-63,0,0,0,0,2
0,0,-72,0,0,2
0,-69,0,-70,0,2
0,-82,0,0,0,2
-60,0,0,0,0,2
0,0,-77,0,0,2
0,0,-82,0,0,2
0,0,0,-81,-80,2
0,0,0,0,-84,2
-52,0,0,0,0,2
-55,0,0,0,0,2
0,-86,0,0,0,2
0,-72,0,0,-81,2
-60,0,0,0,0,2
0,0,-76,0,0,2
0,0,0,-81,0,2
0,-77,0,0,0,2
-62,0,0,0,0,2
0,0,-81,0,0,2
0,-69,0,0,-80,2
0,0,0,0,-82,2
-64,0,0,0,0,2
0,-74,0,0,0,2
0,-81,0,-81,-88,2
0,0,0,0,-71,2
0,0,0,0,-77,2
0,0,-75,0,0,2
0,0,-75,0,0,2
-51,0,0,0,0,2
-55,0,0,0,0,2
-57,0,0,0,0,2
0,0,-75,0,0,2
0,0,-90,-81,0,2
0,-80,0,-77,0,2
-57,0,0,0,0,2
-66,0,0,0,0,2
0,0,-74,0,0,2
0,-69,-80,0,0,2
0,-72,0,0,0,2
-68,0,0,0,0,2
0,0,-86,0,0,2
0,0,-85,0,0,2
0,-77,0,-83,-84,2
0,0,0,0,-82,2
-55,0,0,0,0,2
-55,0,0,0,0,2
0,0,0,-79,0,2
0,0,-76,0,0,2
0,-75,0,0,-90,2
0,0,0,0,-87,2
-57,0,0,0,0,2
0,0,-82,0,0,2
0,-74,0,-78,0,2
0,0,0,-84,0,2
-57,0,0,0,0,2
0,-78,0,0,-82,2
0,0,0,-86,0,2
0,0,0,0,-77,2
-53,0,0,0,0,2
-63,0,0,0,0,2
0,-75,-76,-88,0,2
0,-77,0,0,0,2
-56,0,0,0,0,2
0,0,0,0,-80,2
0,-77,-73,-77,0,2
0,0,0,0,-79,2
0,0,0,-79,0,2
0,0,0,0,-73,2
-78,0,0,0,0,2
-58,0,0,0,0,2
0,-76,-79,-87,0,2
0,-87,0,0,-84,2
0,0,0,-81,-89,2
0,0,0,0,-79,2
-63,0,0,0,0,2
-57,0,0,0,0,2
0,0,-70,0,0,2
0,-71,-81,-81,0,2
0,0,0,-75,-75,2
