Fold,Accuracy,Top-2 Accuracy,Avg Distance Error (m)
pos_0,0.4509132420091324,0.6892123287671232,2.7851027397260273
pos_1,0.598744292237443,0.7793949771689498,2.2174657534246576
pos_2,0.5610730593607306,0.7745433789954338,2.1669520547945207
pos_3,0.5159817351598174,0.7636986301369864,2.4023972602739727
pos_4,0.4742063492063492,0.7114512471655329,3.008503401360544
