B1,B2,B3,B4,B5,Zone
0,0,0,-75,0,20
-87,0,0,0,0,20
0,0,-79,0,0,20
0,0,0,0,-79,20
0,0,-93,0,0,20
0,-88,0,0,0,20
0,0,-87,0,0,20
0,0,0,0,-76,20
-86,0,0,0,0,20
0,0,0,0,-82,20
0,-83,0,0,0,20
0,0,-82,-76,0,20
0,-87,0,0,0,20
0,0,0,0,-64,20
0,0,0,-81,0,20
0,0,0,-81,0,20
0,-92,0,0,0,20
0,0,-91,-81,0,20
-85,0,0,0,0,20
0,0,0,0,-69,20
0,0,0,0,-69,20
0,0,0,-71,0,20
0,-80,0,0,0,20
0,0,0,-77,0,20
-87,0,-84,0,0,20
-88,0,0,0,0,20
0,0,0,0,-77,20
0,0,0,-71,0,20
0,-81,0,0,0,20
0,0,-82,-70,0,20
0,-85,0,0,0,20
-82,0,-84,0,0,20
-90,0,0,0,0,20
0,0,0,0,-60,20
0,0,0,0,-61,20
0,0,-88,-79,0,20
0,0,-85,0,0,20
0,-78,0,0,0,20
0,0,0,0,-67,20
0,0,0,0,-71,20
0,0,0,-71,0,20
-82,0,0,-62,0,20
-81,0,-79,0,0,20
0,0,0,0,-67,20
0,0,0,0,-67,20
0,0,0,-70,0,20
0,-75,0,0,0,20
-73,0,0,-66,0,20
0,0,-72,0,0,20
0,0,0,0,-64,20
0,0,0,0,-63,20
0,0,0,-77,0,20
-86,0,0,0,0,20
0,0,0,0,-60,20
0,-82,0,0,0,20
0,-88,0,0,0,20
0,0,-76,-72,0,20
0,-84,0,0,0,20
-80,0,0,-45,0,20
0,0,0,0,-57,20
0,-78,0,0,0,20
0,0,0,-72,0,20
0,-87,0,0,0,20
0,0,-88,-73,0,20
-82,0,0,0,0,20
0,0,-87,0,0,20
0,0,0,0,-67,20
0,0,0,-67,0,20
0,-81,0,0,0,20
0,0,-73,-44,0,20
0,0,0,-83,0,20
-91,0,0,0,0,20
0,0,0,-62,0,20
0,-69,0,0,0,20
0,0,-75,-77,0,20
0,-80,0,0,0,20
-77,0,-71,-64,0,20
0,0,0,-64,0,20
0,0,0,0,-69,20
0,0,0,-64,0,20
0,0,0,-66,0,20
0,-77,0,0,0,20
-76,0,-72,0,0,20
0,0,0,0,-64,20
0,-82,0,0,0,20
0,0,0,0,-75,20
0,0,-77,-44,0,20
0,-77,0,0,0,20
0,0,-76,-72,0,20
0,0,-76,-80,0,20
-78,0,0,0,0,20
0,0,0,0,-62,20
0,0,-92,-49,0,20
0,0,0,0,-63,20
0,-91,0,0,0,20
0,0,0,-75,0,20
0,-84,0,0,0,20
-94,0,0,0,0,20
0,0,0,0,-55,20
0,0,0,-71,0,20
-90,0,0,0,0,20
0,0,0,0,-69,20
0,-82,0,0,-68,20
0,0,0,-73,0,20
0,-72,0,0,0,20
0,0,-80,-67,0,20
0,0,0,-47,0,20
-83,0,0,0,0,20
0,0,0,0,-55,20
0,0,0,0,-68,20
0,0,-79,0,0,20
0,0,0,0,-71,20
0,0,0,-72,0,20
0,-80,0,0,-69,20
0,0,0,-69,0,20
0,0,0,-75,0,20
0,0,-77,-81,0,20
0,0,0,0,-62,20
0,0,0,-71,0,20
0,-84,0,0,-42,20
0,0,-79,-70,0,20
0,0,0,0,-66,20
0,0,0,-74,0,20
0,-96,0,0,0,20
0,0,0,-71,0,20
0,0,0,0,-72,20
0,0,0,-71,0,20
0,0,-93,0,0,20
0,-85,0,0,-66,20
0,0,0,-74,0,20
0,0,0,0,-68,20
0,0,0,-79,0,20
0,-82,0,0,-67,20
-79,0,-77,0,0,20
0,0,-79,0,0,20
0,-82,0,0,0,20
0,0,0,-75,0,20
0,0,-79,0,0,20
0,0,0,0,-71,20
-83,0,0,0,0,20
0,0,-77,0,0,20
0,0,0,0,-61,20
0,0,0,0,-67,20
0,0,0,-76,0,20
-92,0,0,0,0,20
0,-85,0,0,0,20
0,0,0,0,-68,20
-79,0,0,-70,0,20
0,0,0,0,-58,20
0,0,0,0,-65,20
0,-75,0,0,0,20
0,0,0,-61,0,20
0,-81,0,0,0,20
0,0,-79,-64,0,20
0,0,0,0,-56,20
0,0,-81,-47,0,20
0,0,0,0,-60,20
-76,0,-70,0,0,20
0,0,0,-72,0,20
0,-80,0,0,-64,20
0,0,-73,-67,0,20
0,0,0,0,-62,20
0,0,-87,0,0,20
0,0,0,0,-64,20
0,0,-88,0,0,20
0,0,0,0,-65,20
0,0,0,-76,0,20
0,-91,0,0,0,20
0,0,0,0,-61,20
0,0,0,-88,0,20
0,0,0,0,-62,20
0,0,-89,0,0,20
0,0,0,0,-58,20
0,0,0,-72,0,20
0,-82,0,0,0,20
-92,0,0,0,0,20
0,0,0,0,-70,20
0,0,-84,0,0,20
0,0,0,0,-66,20
0,0,0,-75,0,20
0,0,0,0,-58,20
-84,0,0,-45,0,20
0,0,0,0,-64,20
0,0,0,-76,0,20
0,0,0,-75,0,20
0,-84,0,0,0,20
0,0,0,-73,0,20
0,0,0,0,-57,20
-86,0,-83,0,0,20
0,-75,0,0,0,20
-83,0,0,-71,0,20
0,0,0,0,-62,20
0,0,-86,0,0,20
0,0,0,0,-66,20
0,0,0,0,-74,20
0,0,-82,0,0,20
0,-84,0,0,0,20
-82,0,0,-71,0,20
-88,0,-82,0,0,20
0,0,0,0,-68,20
0,0,-91,0,0,20
0,0,-83,0,0,20
0,-80,0,0,0,20
-85,0,0,0,0,20
0,0,0,0,-68,20
-81,0,0,0,0,20
0,0,0,0,-67,20
0,0,-80,0,0,20
0,0,-77,0,0,20
0,-74,0,0,0,20
-80,0,0,0,0,20
0,0,0,0,-75,20
0,0,-76,0,0,20
0,0,-75,0,0,20
0,-76,0,0,0,20
0,0,0,-78,0,20
0,0,0,0,-57,20
0,0,0,-72,0,20
0,0,0,0,-66,20
-88,0,-77,0,0,20
0,0,0,0,-60,20
0,0,-86,0,0,20
0,0,0,-59,0,20
-90,0,0,-75,0,20
0,0,0,0,-72,20
0,0,-83,-73,0,20
0,0,0,0,-59,20
0,0,-76,0,0,20
0,0,0,0,-66,20
0,0,-92,0,0,20
0,-87,0,0,0,20
0,0,0,-80,0,20
0,-89,0,0,0,20
-82,0,0,0,0,20
0,0,0,0,-66,20
-84,0,0,0,0,20
0,0,0,0,-72,20
0,-84,0,0,0,20
0,-86,0,0,-65,20
0,0,0,-70,0,20
0,0,0,0,-60,20
-76,0,0,0,0,20
0,0,0,0,-61,20
0,0,-84,0,0,20
0,-84,0,0,0,20
0,0,0,-74,0,20
0,0,0,-89,0,20
0,-74,0,0,0,20
0,0,0,0,-78,20
-89,0,0,0,0,20
0,0,0,0,-69,20
0,-87,0,0,0,20
0,0,0,-78,0,20
0,0,0,-80,0,20
0,-83,0,0,-61,20
0,0,0,0,-70,20
-85,0,0,0,0,20
