B1,B2,B3,B4,B5,Zone
0,-56,0,0,0,8
0,0,0,0,-87,8
0,-60,0,-72,0,8
0,-59,0,-74,0,8
0,0,0,-71,0,8
0,0,0,-78,0,8
0,0,0,-77,0,8
0,-67,0,0,-74,8
0,0,0,-75,0,8
-79,0,-63,0,0,8
0,0,0,0,-76,8
0,-54,0,0,-76,8
0,0,0,-72,0,8
0,0,-69,0,0,8
0,-53,-70,0,0,8
0,0,0,0,-76,8
-76,0,-70,-83,0,8
0,-48,0,0,0,8
0,0,0,-81,0,8
-85,0,0,0,0,8
-82,0,-79,0,0,8
0,-56,0,0,-77,8
0,-63,0,-76,0,8
0,0,0,-76,0,8
-77,0,-75,0,0,8
0,-62,0,0,0,8
0,0,0,-82,0,8
0,0,0,-79,0,8
-82,0,-75,0,0,8
-86,0,-75,0,0,8
0,-65,0,0,-91,8
0,-63,0,0,0,8
0,0,0,-81,0,8
-87,0,-75,0,0,8
0,0,0,0,-79,8
0,-59,0,-73,0,8
0,0,-78,0,0,8
-79,0,-72,0,0,8
0,-61,0,0,-76,8
0,0,0,-86,0,8
-92,0,0,0,0,8
0,0,-64,0,0,8
0,-64,0,0,-82,8
0,-69,0,0,-86,8
0,0,0,-80,0,8
-91,0,-82,0,0,8
0,0,-76,0,0,8
0,-70,0,0,-87,8
0,0,0,-79,0,8
0,0,0,-78,0,8
0,0,-83,0,0,8
0,-60,-70,0,-81,8
0,-69,0,0,0,8
0,0,0,-79,0,8
0,0,-75,0,0,8
-89,0,-69,0,0,8
0,-65,0,0,-86,8
0,-67,0,0,0,8
0,0,-74,0,0,8
0,0,-75,0,0,8
0,-59,0,0,-81,8
0,0,0,-89,0,8
0,0,-74,0,0,8
0,0,-68,0,0,8
0,-68,0,0,-84,8
0,0,0,-78,0,8
-84,0,0,0,0,8
-74,0,-72,0,0,8
0,-57,0,0,0,8
0,-60,0,0,0,8
-83,0,-69,0,0,8
0,0,0,0,-90,8
-74,0,0,0,0,8
-79,0,-75,0,0,8
0,0,-77,0,-80,8
0,-67,0,0,0,8
0,0,0,-92,0,8
-82,0,0,0,0,8
0,0,-71,0,0,8
0,-62,0,0,0,8
0,0,0,-89,0,8
-88,0,-72,0,0,8
0,0,0,0,-81,8
0,-62,0,0,-88,8
0,0,0,-81,0,8
-83,0,0,0,0,8
0,0,0,-73,-86,8
0,0,0,-77,0,8
0,0,-80,0,0,8
0,-57,0,0,-83,8
0,-57,0,0,0,8
0,0,0,-80,0,8
0,0,-76,0,0,8
0,0,-72,0,0,8
0,-65,0,0,0,8
0,-68,0,0,0,8
-78,0,0,0,0,8
-80,0,-79,0,0,8
0,0,-83,0,-78,8
0,-62,0,-86,0,8
0,0,0,-85,0,8
-89,0,0,0,0,8
0,0,-80,0,0,8
0,-68,0,-88,0,8
-83,0,0,0,0,8
-86,0,-79,0,0,8
0,-60,0,-80,0,8
0,-72,-76,0,-84,8
0,-77,0,0,0,8
0,0,-75,0,0,8
0,-67,0,0,-86,8
0,-46,0,-86,-85,8
0,-66,0,0,0,8
-93,0,0,0,0,8
0,0,-75,0,-80,8
0,0,0,-82,-80,8
-80,0,0,0,0,8
0,0,-73,0,0,8
0,-64,-72,0,-84,8
0,-59,0,0,-84,8
-86,0,0,0,0,8
0,0,-72,0,0,8
0,-67,0,-83,0,8
0,-73,0,-79,0,8
0,0,-78,0,0,8
0,0,0,-80,0,8
-87,0,0,0,0,8
0,0,-71,0,0,8
0,0,0,0,-79,8
0,-63,0,-77,0,8
-80,0,0,0,0,8
-74,0,0,0,0,8
0,0,0,0,-83,8
0,0,-77,0,0,8
0,-68,0,0,-92,8
0,0,0,-82,0,8
-82,0,0,0,0,8
0,0,-65,0,0,8
0,0,-73,0,-78,8
0,0,0,-74,0,8
0,0,0,0,-83,8
0,-71,0,-90,0,8
0,-57,0,0,-79,8
-80,0,0,0,0,8
0,-59,0,-86,0,8
-78,0,0,0,0,8
0,0,-69,-73,0,8
0,-64,0,-88,-80,8
-74,0,0,0,0,8
0,0,-75,0,0,8
0,-56,0,-86,0,8
0,-59,0,0,0,8
-89,0,-69,0,0,8
0,0,-77,0,0,8
0,-57,0,-82,-81,8
-75,0,0,0,0,8
0,0,-69,0,0,8
0,0,-71,-88,0,8
0,-62,0,-89,-77,8
-79,0,0,0,0,8
0,0,-75,0,0,8
0,-60,0,-82,-81,8
0,-61,0,-73,0,8
0,0,-71,0,0,8
0,-62,0,-80,-79,8
-76,0,0,0,0,8
0,-69,-75,-81,-78,8
0,-60,0,-74,-78,8
-78,0,0,0,0,8
0,0,-81,0,0,8
0,-62,0,0,0,8
0,0,0,-74,0,8
-79,0,0,0,0,8
0,0,-72,0,0,8
0,-60,0,-82,-85,8
0,0,0,-88,0,8
-82,0,0,0,0,8
0,0,-70,0,0,8
0,-78,-71,0,0,8
0,-68,0,-76,-78,8
-81,0,0,0,0,8
0,0,-81,0,0,8
0,-62,0,-86,-89,8
0,0,-75,0,0,8
0,-57,0,-87,-77,8
-83,0,0,0,0,8
0,0,-67,0,0,8
0,-62,0,-67,0,8
-71,0,0,0,0,8
0,-55,0,0,0,8
0,0,0,0,-74,8
0,-42,-75,0,0,8
-80,0,0,-70,0,8
0,-62,-65,0,0,8
0,0,-70,0,0,8
0,0,0,-75,-79,8
0,-51,-76,0,0,8
0,0,0,-81,0,8
-85,0,0,0,0,8
-82,0,0,0,0,8
0,0,-64,0,0,8
0,-61,0,0,-72,8
0,0,0,-77,0,8
-68,0,0,0,0,8
-78,0,0,0,0,8
0,0,-70,-76,0,8
0,-66,0,-76,-89,8
-92,0,0,0,0,8
0,-64,-70,-76,-84,8
0,0,0,0,-80,8
-88,0,0,0,0,8
-75,0,0,0,0,8
0,-66,0,-71,-67,8
-72,0,0,0,0,8
-77,0,0,0,0,8
0,0,-70,0,0,8
0,-57,-83,0,-78,8
0,-64,0,0,-76,8
-79,0,0,0,0,8
0,-55,0,0,0,8
0,0,0,0,-73,8
0,-57,0,-78,0,8
0,0,0,-83,0,8
-71,0,0,0,0,8
0,0,-79,-93,0,8
0,0,-69,-80,0,8
0,0,0,0,-79,8
-84,0,0,0,0,8
-79,0,0,0,0,8
0,-62,-68,0,0,8
0,-59,0,-70,-70,8
0,0,-79,0,-83,8
0,0,0,0,-80,8
-79,0,0,0,0,8
0,0,0,-71,0,8
0,0,0,-72,-78,8
-78,0,0,0,0,8
0,0,0,-81,0,8
0,0,0,0,-79,8
-77,0,0,0,0,8
0,-73,-66,-68,0,8
0,-57,-71,-63,0,8
0,0,0,0,-75,8
-78,0,0,0,0,8
-70,0,0,0,0,8
0,-65,-72,0,0,8
0,-54,-72,-86,0,8
-85,0,0,0,0,8
-81,0,0,0,0,8
0,-55,-70,0,-70,8
0,0,-66,-69,-81,8
-83,0,0,0,0,8
0,-67,0,0,0,8
0,0,0,0,-81,8
0,-56,0,0,0,8
-77,0,0,0,0,8
-75,0,0,0,0,8
0,-56,-68,-75,0,8
0,0,-78,0,-74,8
0,-59,-69,-81,-79,8
0,0,-77,0,-94,8
-75,0,0,0,0,8
-76,0,0,0,0,8
0,-60,-74,-77,0,8
0,0,-69,0,-79,8
-86,0,0,0,0,8
-82,0,0,0,0,8
0,-62,0,-73,0,8
0,0,0,0,-78,8
0,0,-72,0,0,8
-78,0,0,0,0,8
-71,0,0,0,0,8
0,-61,0,-85,0,8
0,0,0,0,-86,8
0,0,0,0,-88,8
0,-71,0,0,0,8
0,-57,-68,0,0,8
0,0,0,0,-81,8
-77,0,0,0,0,8
0,-65,0,-77,0,8
0,0,-77,-82,-82,8
0,0,0,0,-78,8
-84,0,0,0,0,8
0,-71,0,0,0,8
0,-67,0,-70,0,8
0,0,-71,-79,0,8
-79,0,0,0,0,8
0,-68,0,0,0,8
0,0,-76,-77,0,8
-75,0,0,0,0,8
-76,0,0,0,0,8
0,0,-79,0,-79,8
-85,0,0,0,0,8
0,-55,0,0,0,8
0,-55,0,0,0,8
0,0,-76,-77,-77,8
-76,0,0,0,0,8
0,0,-69,-79,0,8
0,0,-68,0,-84,8
-85,0,0,0,0,8
-83,0,0,0,0,8
0,-61,0,-73,0,8
0,0,-72,-73,0,8
-86,0,0,0,0,8
0,-63,0,0,0,8
0,-59,0,-76,0,8
0,0,-80,-84,-89,8
0,-57,0,0,0,8
0,0,0,-74,0,8
0,0,-67,0,0,8
