B1,B2,B3,B4,B5,Zone
-89,0,0,0,-32,23
0,0,0,-71,0,23
0,0,0,0,-64,23
0,-79,0,0,0,23
0,0,0,0,-60,23
0,0,0,-82,0,23
0,-82,-76,0,0,23
0,-90,-86,0,0,23
0,0,0,0,-64,23
0,0,0,-80,0,23
0,0,0,-80,0,23
0,0,-83,0,0,23
0,0,-80,0,0,23
-84,0,0,0,-57,23
0,-81,0,0,0,23
-85,0,0,0,0,23
0,0,0,-76,0,23
0,0,0,-74,0,23
0,-78,0,0,0,23
0,-82,0,0,0,23
-81,0,0,0,-56,23
-80,0,0,0,0,23
0,0,0,0,-63,23
0,0,-87,0,0,23
0,0,0,0,-66,23
0,0,0,0,-54,23
-90,0,0,0,0,23
-81,0,0,0,0,23
0,0,0,-68,0,23
0,-79,0,0,0,23
0,-78,0,0,0,23
0,0,0,0,-65,23
0,0,0,0,-58,23
0,0,0,-79,0,23
0,0,0,-81,0,23
0,0,0,0,-54,23
0,-87,0,0,0,23
0,0,0,0,-57,23
0,0,0,0,-57,23
-79,0,0,0,0,23
0,0,0,-72,0,23
0,-78,0,0,0,23
0,-79,0,0,0,23
0,0,0,0,-55,23
0,-88,0,0,0,23
0,0,0,0,-57,23
0,0,-81,0,0,23
0,0,0,0,-63,23
0,0,0,-82,0,23
0,0,0,-72,0,23
0,0,0,0,-58,23
0,-86,0,0,0,23
0,0,0,0,-61,23
0,0,-93,0,0,23
-85,0,0,0,0,23
0,0,0,-73,0,23
0,-76,0,0,0,23
0,0,0,-78,0,23
0,0,0,0,-58,23
0,-82,-83,0,0,23
0,0,0,0,-62,23
-81,0,0,0,0,23
0,0,0,-73,0,23
0,0,0,0,-48,23
0,0,-82,0,0,23
-81,0,0,0,-56,23
-90,0,0,0,0,23
0,0,0,-75,0,23
0,0,0,-83,0,23
0,-79,0,0,0,23
0,0,0,0,-55,23
0,0,-83,0,0,23
-84,0,0,0,-55,23
0,0,0,-70,0,23
0,0,0,-77,0,23
0,-75,0,0,0,23
0,0,0,0,-52,23
0,-80,0,0,0,23
0,0,-80,0,0,23
0,0,0,0,-53,23
0,0,-81,-68,0,23
-90,0,0,0,0,23
0,0,-79,0,0,23
0,0,0,0,-56,23
0,0,-79,0,0,23
0,-86,0,0,0,23
0,0,0,0,-58,23
0,0,-79,-78,0,23
0,0,0,-68,0,23
0,0,0,-78,0,23
0,-82,0,0,0,23
0,0,0,0,-55,23
0,-56,-76,0,0,23
-77,0,0,0,0,23
-78,0,0,0,-57,23
0,0,0,-79,0,23
0,0,0,-73,0,23
0,0,0,-69,0,23
0,0,0,-75,0,23
0,0,-79,0,0,23
0,0,0,0,-77,23
0,0,-79,0,0,23
0,0,0,0,-66,23
0,0,0,-71,0,23
0,0,0,-73,0,23
0,0,0,-80,0,23
0,-80,0,0,0,23
0,0,0,-64,0,23
0,-78,-82,0,0,23
0,0,0,0,-53,23
0,0,0,0,-56,23
0,0,0,0,-56,23
0,0,-81,-71,0,23
0,-82,0,0,0,23
0,-79,0,0,0,23
0,-86,0,0,0,23
0,0,-90,0,0,23
-82,0,0,0,-60,23
0,0,0,-70,0,23
-80,0,0,0,0,23
0,0,0,-75,0,23
0,-80,0,0,0,23
0,0,-85,0,0,23
-86,0,0,0,-69,23
0,0,-80,0,0,23
-84,0,0,0,0,23
0,0,-84,0,0,23
0,0,0,0,-60,23
0,0,0,-69,0,23
0,0,0,0,-55,23
0,0,0,-75,0,23
0,-80,0,0,0,23
0,-86,-80,0,0,23
0,0,0,0,-56,23
0,0,-81,0,0,23
-84,0,0,0,-63,23
0,0,0,-73,0,23
-78,0,0,0,-61,23
0,-79,0,0,0,23
0,-79,0,0,0,23
-87,0,0,0,0,23
0,0,-78,0,0,23
-87,0,0,0,0,23
0,0,-80,0,0,23
0,0,0,-71,0,23
0,0,0,0,-52,23
0,0,0,-78,0,23
0,-78,0,0,0,23
0,0,0,0,-51,23
0,-62,-82,0,0,23
0,0,0,0,-58,23
0,0,0,-75,0,23
0,0,0,0,-39,23
0,0,0,-72,0,23
-86,0,0,0,0,23
-82,0,0,0,-65,23
0,-80,0,0,0,23
-80,0,0,0,-53,23
0,0,0,-70,0,23
0,0,0,-71,0,23
0,0,0,-70,0,23
0,-78,0,0,0,23
0,0,-77,0,0,23
0,-78,0,0,0,23
0,0,0,0,-57,23
0,-75,0,0,0,23
0,0,0,-70,0,23
0,0,0,-78,0,23
-80,0,-75,0,0,23
0,-80,0,0,0,23
0,0,0,0,-56,23
-83,0,0,0,0,23
-89,0,-88,0,0,23
0,-89,0,0,0,23
0,0,0,0,-61,23
0,0,0,0,-57,23
-81,0,0,-71,0,23
-88,0,-93,-76,0,23
0,0,-89,0,0,23
0,-91,0,0,0,23
0,0,0,0,-54,23
0,-80,0,0,0,23
0,0,0,0,-33,23
0,0,0,-70,0,23
0,-77,0,0,0,23
0,0,0,0,-64,23
0,-90,0,0,0,23
0,0,0,0,-55,23
0,-82,0,0,0,23
-87,0,0,0,0,23
0,0,-85,0,0,23
0,0,0,0,-57,23
0,0,0,0,-60,23
0,0,0,-75,0,23
0,0,0,-75,0,23
-89,0,0,0,0,23
0,0,-83,0,-57,23
0,0,-81,0,-55,23
0,0,0,0,-52,23
0,0,0,-72,0,23
0,-85,0,0,0,23
0,0,0,-72,0,23
-88,0,-85,0,0,23
0,0,-78,0,-54,23
0,0,-78,0,0,23
-87,0,0,0,0,23
0,0,0,-81,0,23
-88,0,0,0,0,23
0,0,0,-71,0,23
0,0,-84,0,0,23
0,0,-79,0,0,23
0,0,0,0,-54,23
0,0,0,-87,0,23
0,0,0,-75,0,23
0,0,-92,0,0,23
0,-86,0,0,0,23
0,0,-83,0,0,23
0,-88,0,0,0,23
0,0,0,0,-54,23
0,-87,0,-74,0,23
0,0,0,0,-29,23
0,0,0,-72,0,23
0,-79,0,0,0,23
0,0,0,0,-58,23
-87,0,0,0,0,23
-78,0,0,-77,0,23
-82,0,0,-84,0,23
0,0,0,0,-57,23
0,-83,0,0,0,23
0,0,0,0,-62,23
0,0,0,-83,0,23
-82,0,0,-74,0,23
0,0,-88,0,0,23
0,-84,0,0,0,23
0,0,-79,0,0,23
0,0,0,0,-54,23
0,0,0,-76,0,23
0,0,0,-84,0,23
-85,0,0,0,0,23
0,0,-84,0,0,23
0,0,0,0,-58,23
0,0,0,0,-51,23
0,0,0,-78,0,23
0,0,0,-79,0,23
-86,0,0,-78,0,23
0,0,0,0,-63,23
0,-86,0,0,0,23
0,0,-82,0,0,23
0,0,-88,0,-60,23
0,0,0,-73,0,23
0,-83,0,0,0,23
0,0,0,0,-60,23
0,0,0,-68,0,23
-79,0,0,-78,0,23
-80,0,0,0,0,23
0,-93,0,0,0,23
0,0,-78,0,-53,23
0,0,-85,0,-51,23
0,0,0,-75,0,23
0,0,0,-73,0,23
-83,0,0,0,0,23
0,-79,0,0,0,23
0,0,0,0,-52,23
0,-70,0,0,0,23
0,0,0,0,-76,23
0,0,0,-78,0,23
-80,0,0,0,0,23
0,0,0,-70,0,23
0,-72,0,0,0,23
0,0,-75,0,0,23
0,-76,0,0,0,23
0,0,0,0,-54,23
0,-85,0,0,0,23
0,0,0,0,-49,23
-62,0,0,-71,0,23
0,0,-83,0,0,23
0,-76,0,0,0,23
0,0,0,0,-57,23
0,0,-81,0,-55,23
0,-73,0,-75,0,23
0,0,0,0,-67,23
0,0,0,-69,0,23
-78,0,0,-77,0,23
0,-76,0,0,0,23
0,0,0,0,-64,23
0,-77,0,0,0,23
0,0,0,0,-66,23
0,0,0,-76,0,23
-79,0,0,-71,0,23
0,-77,0,0,0,23
0,0,-84,0,0,23
0,-79,0,0,0,23
0,0,0,0,-53,23
0,-81,0,0,0,23
0,0,0,0,-57,23
0,0,0,0,-57,23
0,-82,0,0,0,23
0,0,0,0,-49,23
0,0,0,0,-48,23
0,0,0,-77,0,23
0,0,0,0,-53,23
0,0,0,-79,0,23
0,-82,0,0,0,23
0,-76,0,0,0,23
0,0,-79,0,0,23
-78,0,0,-82,0,23
0,0,-83,0,-50,23
-81,0,0,-79,0,23
0,0,0,-90,0,23
0,-75,0,0,0,23
0,0,-80,0,0,23
0,0,-79,0,0,23
0,0,0,0,-50,23
0,0,0,-76,0,23
-87,-90,0,-80,0,23
0,0,0,0,-53,23
-81,0,0,0,0,23
0,0,-85,0,0,23
0,0,0,0,-54,23
0,0,0,0,-60,23
0,0,0,-92,0,23
0,0,-90,0,0,23
0,-83,0,0,0,23
0,0,0,0,-66,23
0,0,-91,0,-59,23
-91,0,0,-77,0,23
0,0,0,0,-53,23
-86,0,0,-78,0,23
0,0,0,0,-53,23
0,0,0,0,-59,23
0,0,0,-78,0,23
0,-90,0,0,0,23
0,0,-93,0,0,23
0,-86,0,0,0,23
0,0,-87,0,0,23
0,0,0,0,-54,23
0,0,0,0,-54,23
0,0,0,-76,0,23
0,-84,0,0,0,23
0,0,-85,0,0,23
0,-92,0,0,0,23
0,0,0,-83,0,23
0,0,0,0,-51,23
0,0,0,-76,0,23
0,0,0,0,-53,23
-88,0,0,0,0,23
0,-80,0,0,0,23
0,-90,0,0,0,23
0,0,-81,0,-62,23
0,0,0,-81,0,23
-86,0,0,-82,0,23
0,-85,0,0,0,23
0,0,-81,0,0,23
0,0,0,0,-54,23
0,0,-90,0,0,23
0,0,0,0,-55,23
0,0,-81,0,0,23
-89,0,0,-88,0,23
0,0,0,0,-61,23
0,-80,0,0,0,23
0,-86,0,0,0,23
0,-80,0,0,0,23
0,0,0,0,-82,23
0,0,0,-75,0,23
0,0,0,0,-62,23
-80,0,0,-79,0,23
0,0,0,-71,0,23
0,-82,0,0,0,23
0,0,0,0,-51,23
0,0,-81,0,-60,23
0,0,0,-83,0,23
0,-88,0,0,0,23
0,-83,0,0,0,23
0,0,-86,0,0,23
0,0,-86,0,-58,23
-87,0,0,0,0,23
0,0,0,0,-48,23
-90,0,0,0,0,23
0,-79,0,-75,0,23
0,0,-80,0,-57,23
0,0,0,-77,0,23
0,0,0,0,-55,23
0,-85,0,0,0,23
0,0,0,-80,0,23
0,-90,0,0,0,23
0,0,0,0,-53,23
-87,0,0,-82,0,23
-81,0,0,0,0,23
0,-77,0,0,0,23
0,0,-74,0,0,23
0,-84,0,0,0,23
0,0,-78,0,-50,23
0,0,0,-69,0,23
0,0,0,0,-52,23
-74,0,0,0,0,23
0,0,0,-82,0,23
0,0,0,0,-52,23
